Master file Fergusson College Botanical Garden census,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr. no,Team,Census date,Species,GBH1,GBH2,GBH3,GBH4,GBH5,GBH6,GBH7,GBH8,GBH9,GBH10,GBH11,GBH12,Height (visual estimate),Tag number,Remarks,
254,"Ashish, Pranav",18-05-2018,Santalum album,25,,,,,,,,,,,,6,,,
255,"Ashish, Pranav",18-05-2018,Delonix regia,6,,,,,,,,,,,,2,,,
256,"Ashish, Pranav",18-05-2018,Anogeissus seresius,14,,,,,,,,,,,,2,,,
257,"Ashish, Pranav",18-05-2018,Delonix regia,264,,,,,,,,,,,,13,B2/P1-150,,
258,"Ashish, Pranav",18-05-2018,Anogeissus seresius,10,,,,,,,,,,,,2,,,
259,"Ashish, Pranav",18-05-2018,Delonix regia,228,10,15,14.1,12,,,,,,,,15,,,
260,"Ashish, Pranav",18-05-2018,Adhatoda vasica,36,,,,,,,,,,,,2,,stems with same GBH pooled and written. Total stems 6,
261,"Ashish, Pranav",18-05-2018,Adhatoda vasica,10,30,,,,,,,,,,,2,,stems with same GBH pooled and written. Total stems 15,
262,"Ashish, Pranav",18-05-2018,Adhatoda vasica,12,,,,,,,,,,,,2,,,
263,"Ashish, Pranav",18-05-2018,Adhatoda vasica,18,,,,,,,,,,,,2,,stems with same GBH pooled and written. Total stems 3,
264,"Ashish, Pranav",18-05-2018,Adhatoda vasica,36,12,,,,,,,,,,,2,,stems with same GBH pooled and written. Total stems 5,
265,"Ashish, Pranav",18-05-2018,Adhatoda vasica,28,6,,,,,,,,,,,2,,stems with same GBH pooled and written. Total stems 3,
266,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,15,,,,,,,,,,,,3,,,
267,"Ashish, Pranav",18-05-2018,Santalum album,11,11,,,,,,,,,,,2,,,
268,"Ashish, Pranav",18-05-2018,Adhatoda vasica,14,10,6,,,,,,,,,,2,,,
269,"Ashish, Pranav",18-05-2018,Anogeissus seresius,21,11,,,,,,,,,,,3,,,
270,"Ashish, Pranav",18-05-2018,Ixora brachiata,26,24,,,,,,,,,,,4,,,
271,"Ashish, Pranav",18-05-2018,Annona reticulata,37,,,,,,,,,,,,8,,,
272,"Ashish, Pranav",18-05-2018,Annona reticulata,37,38,,,,,,,,,,,7,,,
273,"Ashish, Pranav",18-05-2018,Albizia lebbeck,195,,,,,,,,,,,,13,,,
274,"Ashish, Pranav",18-05-2018,Anogeissus seresius,77.5,,,,,,,,,,,,10,,,
275,"Ashish, Pranav",18-05-2018,Malpighia glabra,14,14,12,12,,,,,,,,,2,,,
276,"Ashish, Pranav",18-05-2018,Dead (unidentified),46,,,,,,,,,,,,5,,,
277,"Ashish, Pranav",18-05-2018,Anogeissus seresius,86,,,,,,,,,,,,6,,,
278,"Ashish, Pranav",18-05-2018,Ixora brachiata,6,5,5,,,,,,,,,,3,,,
279,"Ashish, Pranav",18-05-2018,Tamarindus indica,193,,,,,,,,,,,,11,,,
280,"Ashish, Pranav",18-05-2018,Terminalia bellerica,266,,,,,,,,,,,,14,,,
281,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,14,,,,,,,,,,,,2,,,
282,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,8,,,,,,,,,,,,2,,,
283,"Ashish, Pranav",18-05-2018,Thevettia peruviana,6,,,,,,,,,,,,2,,,
284,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,6,,,,,,,,,,,,2,,,
285,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,96,,,,,,,,,,,,10,,,
286,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,6,5,,,,,,,,,,,2,,,
287,"Ashish, Pranav",18-05-2018,Delonix regia,6,,,,,,,,,,,,2,,,
288,"Ashish, Pranav",18-05-2018,Delonix regia,5,,,,,,,,,,,,2,,,
289,"Ashish, Pranav",18-05-2018,Lantana camera,7,,,,,,,,,,,,2,,,
290,"Ashish, Pranav",18-05-2018,Anogeissus seresius,14.1,,,,,,,,,,,,4,,,
291,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,32,,,,,,,,,,,,5,,,
292,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,6,5,,,,,,,,,,,3,,,
293,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,14,,,,,,,,,,,,2,,,
294,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,31,,,,,,,,,,,,4,,,
295,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,16,10,,,,,,,,,,,3,,,
296,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,15,19,,,,,,,,,,,3,,,
297,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,67,14,,,,,,,,,,,8,,,
298,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,18,,,,,,,,,,,,4,,,
299,"Ashish, Pranav",18-05-2018,Gliricidia sepium,70,,,,,,,,,,,,11,,,
300,"Ashish, Pranav",18-05-2018,Anogeissus seresius,42,,,,,,,,,,,,8,,,
301,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,85,,,,,,,,,,,,11,,,
302,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,98.2,100,,,,,,,,,,,10,,,
303,"Ashish, Pranav",18-05-2018,Anogeissus seresius,88,,,,,,,,,,,,9,,,
304,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,,,,,,,,,,,,2,,,
305,"Ashish, Pranav",18-05-2018,Anogeissus seresius,10,,,,,,,,,,,,2,,,
306,"Ashish, Pranav",18-05-2018,Anogeissus seresius,91,,,,,,,,,,,,11,,,
307,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,7,,,,,,,,,,,2,,,
308,"Ashish, Pranav",18-05-2018,Anogeissus seresius,84.5,,,,,,,,,,,,11,,,
309,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,5,,,,,,,,,,,2,,,
310,"Ashish, Pranav",18-05-2018,Ixora brachiata,25.6,,,,,,,,,,,,4,,,
311,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,197.5,,,,,,,,,,,,11,,,
312,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,36,,,,,,,,,,,,3,,,
313,"Ashish, Pranav",18-05-2018,Anogeissus seresius,104,,,,,,,,,,,,7,,,
314,"Ashish, Pranav",18-05-2018,Jatropha curcas,10,7,,,,,,,,,,,4,,,
315,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,23,17,10,,,,,,,,,,4,,,
316,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,25,,,,,,,,,,,,4,,,
317,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,20,,,,,,,,,,,,3,,,
318,"Ashish, Pranav",18-05-2018,dead (Grewia tilaefolia),30.5,,,,,,,,,,,,4,,,
319,"Ashish, Pranav",18-05-2018,dead (Ailanthus excelsa),361.1,,,,,,,,,,,,13,,,
320,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,31.5,,,,,,,,,,,,7,,,
321,"Ashish, Pranav",18-05-2018,Delonix regia,125.5,,,,,,,,,,,,12,B3/P1-11,,
322,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,21,10,,,,,,,,,,,5,,,
323,"Ashish, Pranav",18-05-2018,Kigellia pinnata,121,59,12,,,,,,,,,,7,,,
324,"Ashish, Pranav",18-05-2018,Delonix regia,81.5,,,,,,,,,,,,7,B3/P1-10,,
325,"Ashish, Pranav",18-05-2018,Bombax ceiba,110,,,,,,,,,,,,9,,,
326,"Ashish, Pranav",18-05-2018,Unidentified (8),12,15,,,,,,,,,,,2,,,
327,"Ashish, Pranav",18-05-2018,Ixora brachiata,6,14,,,,,,,,,,,2,,,
328,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,5,5,5,,,,,,,,,1.5,,,
329,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,2,2,2,2,6,,,,,,,,1.5,,,
330,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,6,6,6,,,,,,,,,,1.5,,,
331,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,5,5,,,,,,,,,,1.5,,,
332,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,5,,,,,,,,,,,1.5,,,
333,"Ashish, Pranav",18-05-2018,Lantana camera,8,8,,,,,,,,,,,1.5,,,
334,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,,,,,,,,,,,,1.5,,,
335,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,,,,,,,,,,,,1.5,,,
336,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,4,,,,,,,,,,,,1.5,,,
337,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,,,,,,,,,,,,1.5,,,
338,"Ashish, Pranav",18-05-2018,Jacaranda mimosaefolia,59,40,17,,,,,,,,,,7,,,
339,"Ashish, Pranav",18-05-2018,cassia siamea,111,,,,,,,,,,,,10,,,
340,"Ashish, Pranav",18-05-2018,Dalbergia lanceolaria,29,,,,,,,,,,,,5,,Was Unidentified (9),
341,"Ashish, Pranav",18-05-2018,Schleichera oleosa,176,,,,,,,,,,,,12,B3/P1-24,,
342,"Ashish, Pranav",18-05-2018,Bombax ceiba,6,,,,,,,,,,,,2,,,
343,"Ashish, Pranav",18-05-2018,Cordia garaf,45,,,,,,,,,,,,6,,With old steel tag,
344,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,20,25,26,10,,,,,,,,,5,,,
345,"Ashish, Pranav",18-05-2018,Anogeissus seresius,10,10,,,,,,,,,,,5,,,
346,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,,,,,,,,,,,,1.5,,,
347,"Ashish, Pranav",18-05-2018,Anogeissus seresius,83,57,,,,,,,,,,,10,,,
348,"Ashish, Pranav",18-05-2018,Tecoma stans,29,,,,,,,,,,,,3,,,
349,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,19,6,6,,,,,,,,,,2,,,
350,"Ashish, Pranav",18-05-2018,Dead (unidentified),74.5,,,,,,,,,,,,8,B3/P1-42,,
351,"Ashish, Pranav",18-05-2018,Adansonia digitata,354.1,,,,,,,,,,,,12,B3/P1-04,,
352,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,,,,,,,,,,,,1.5,,,
353,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,,,,,,,,,,,,1.5,,,
354,"Ashish, Pranav",18-05-2018,Bombax ceiba,4,,,,,,,,,,,,1.5,,,
355,"Ashish, Pranav",18-05-2018,Manilkara hexandra,119,,,,,,,,,,,,11,,,
356,"Ashish, Pranav",18-05-2018,Dead (unidentified),123,,,,,,,,,,,,6,,,
357,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,31,,,,,,,,,,,,5,,,
358,"Ashish, Pranav",18-05-2018,Euphorbia lacteata,25,,,,,,,,,,,,2.5,,,
359,"Ashish, Pranav",18-05-2018,Tecoma stans,4,,,,,,,,,,,,2,,,
360,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,29.5,,,,,,,,,,,,4,,,
361,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,36,,,,,,,,,,,,4,,,
362,"Ashish, Pranav",18-05-2018,Euphorbia lacteata,29,,,,,,,,,,,,3.2,,,
363,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,20,,,,,,,,,,,,3.5,,,
364,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,27,,,,,,,,,,,,3.5,,,
365,"Ashish, Pranav",18-05-2018,Bombax ceiba,108.5,,,,,,,,,,,,6,,,
366,"Ashish, Pranav",18-05-2018,Santalum album,15,,,,,,,,,,,,2,,,
367,"Ashish, Pranav",18-05-2018,Lantana camera,12,12,10,10,7,7,,,,,,,1.5,,,
368,"Ashish, Pranav",18-05-2018,Hibiscus rosa-sinensis,12,17,,,,,,,,,,,1.5,,,
369,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,6,,,,,,,,,,,,2,,,
370,"Ashish, Pranav",18-05-2018,Ixora brachiata,21.3,,,,,,,,,,,,2.5,,,
371,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,12,,,,,,,,,,,,2,,,
372,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,12,,,,,,,,,,,,2,,,
373,"Ashish, Pranav",18-05-2018,Lantana camera,5,,,,,,,,,,,,1.5,,,
374,"Ashish, Pranav",18-05-2018,Dead (unidentified),102,,,,,,,,,,,,5,,,
375,"Ashish, Pranav",18-05-2018,Delonix regia,106,,,,,,,,,,,,6,B3/P1-75,,
376,"Ashish, Pranav",18-05-2018,Annona squamosa,17,,,,,,,,,,,,2,,,
377,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,15,10,,,,,,,,,,,1.5,,,
378,"Ashish, Pranav",18-05-2018,Euphorbia lacteata,23,39,,,,,,,,,,,3,B3/P1-72,,
379,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,10,45,40,11,,,,,,,,,4,,,
380,"Ashish, Pranav",18-05-2018,Tamarindus indica,29,,,,,,,,,,,,3,,,
381,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,,,,,,,,,,,,1.5,,,
382,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,15,11,,,,,,,,,,,1.5,,,
383,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,11,,,,,,,,,,,,1.5,,,
384,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,5,,,,,,,,,,,,1.5,,,
385,"Ashish, Pranav",18-05-2018,Santalum album,27.1,,,,,,,,,,,,3,,,
386,"Ashish, Pranav",18-05-2018,Ficus religiosa,134,,,,,,,,,,,,13,,,
387,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,85,,,,,,,,,,,,4.5,,,
388,"Ashish, Pranav",18-05-2018,Ailanthus excelsa,25.1,50,,,,,,,,,,,4,B3/P1-55,,
389,"Ashish, Pranav",18-05-2018,Ehretia laevis,17,,,,,,,,,,,,2,,,
390,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,23,,,,,,,,,,,,3.5,,,
391,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,59.9,18,,,,,,,,,,,10,,,
392,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,11,,,,,,,,,,,,2,,,
393,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,41,,,,,,,,,,,,6,,,
394,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,51,,,,,,,,,,,,6,,,
395,"Ashish, Pranav",18-05-2018,Bauhinia tomentosa,11,,,,,,,,,,,,1.5,,,
396,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,26,13,,,,,,,,,,,3,,,
397,"Ashish, Pranav",18-05-2018,dead (Sterculia alata),400,,,,,,,,,,,,2,,Tree cut at 2-3m after it died ,
398,"Ashish, Pranav",18-05-2018,dead (Grewia tilaefolia),28,,,,,,,,,,,,2,,,
399,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,16,,,,,,,,,,,,2,,,
400,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,14,,,,,,,,,,,,2,,,
401,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,43,,,,,,,,,,,,5,,,
402,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,15,,,,,,,,,,,,2,,,
403,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,19,,,,,,,,,,,,2,,,
404,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,51.5,,,,,,,,,,,,3,,,
405,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,31,,,,,,,,,,,,2.5,,,
406,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,28.9,,,,,,,,,,,,2.5,,,
407,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,23.1,,,,,,,,,,,,2,,,
408,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,27,,,,,,,,,,,,2,,,
409,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,40,,,,,,,,,,,,4,,,
410,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,169,11,,,,,,,,,,,10,B3/P1-113,,
411,"Ashish, Pranav",18-05-2018,Terminalia bellerica,211,,,,,,,,,,,,18,B3/P1-112,,
412,"Ashish, Pranav",18-05-2018,Terminalia bellerica,259,,,,,,,,,,,,18,B3/P1-111,,
413,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,11,,,,,,,,,,,,2,,,
414,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,11,,,,,,,,,,,,2,,,
415,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,59,,,,,,,,,,,,4,,,
416,"Ashish, Pranav",18-05-2018,Tecoma stans,15,45,,,,,,,,,,,3,,,
417,"Ashish, Pranav",18-05-2018,Parmentiera cereifera,46,45,52.5,,,,,,,,,,4,,covered by Vitis quadrangularis,
418,"Ashish, Pranav",18-05-2018,Cycas circinalis,46.5,,,,,,,,,,,,1.5,,,
419,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,31,,,,,,,,,,,,3,,,
420,"Ashish, Pranav",18-05-2018,Lantana camera,5,,,,,,,,,,,,2,,,
421,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,21.5,,,,,,,,,,,,3,,,
422,"Ashish, Pranav",18-05-2018,Adhatoda vasica,6,6,6,6,6,6,6,6,6,6,8,8,2.5,,,
423,"Ashish, Pranav",18-05-2018,Manilkara hexandra,14,7,5,,,,,,,,,,2,,coppice shoots. Was cut/died 3-4 years ago,
424,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,15,,,,,,,,,,,,2,,,
425,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,39.5,,,,,,,,,,,,10,,,
426,"Ashish, Pranav",18-05-2018,Santalum album,17,10,,,,,,,,,,,2,,,
427,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,18,,,,,,,,,,,,2.5,,,
428,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,10,,,,,,,,,,,,1.5,,,
429,"Ashish, Pranav",18-05-2018,Santalum album,17,,,,,,,,,,,,1.5,,,
430,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,18,,,,,,,,,,,,2,,,
431,"Ashish, Pranav",18-05-2018,Anogeissus latifolia,102,,,,,,,,,,,,11,,,
432,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,12,,,,,,,,,,,,2,,,
433,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,18,,,,,,,,,,,,2,,,
434,"Ashish, Pranav",18-05-2018,dead (Syzygium heyneanum),103,,,,,,,,,,,,6,,died in 2017 or 2018,
435,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,15,,,,,,,,,,,,2,,,
436,"Ashish, Pranav",18-05-2018,Delonix regia,41,103,89,,,,,,,,,,9,,,
437,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,14,,,,,,,,,,,,3,,,
438,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,15,6,,,,,,,,,,,3,,,
439,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,9,,,,,,,,,,,,3,,,
440,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,8,6,,,,,,,,,,,3,,,
441,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,48,,,,,,,,,,,,4,,,
442,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,14,10,,,,,,,,,,,2,,,
443,"Ashish, Pranav",18-05-2018,Lantana camera,5,,,,,,,,,,,,1.5,,,
444,"Ashish, Pranav",18-05-2018,Ehretia laevis,16,15.5,,,,,,,,,,,3,,,
445,"Ashish, Pranav",18-05-2018,Ixora brachiata,11,,,,,,,,,,,,2,,,
446,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,32,,,,,,,,,,,,3.5,,,
447,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,11,,,,,,,,,,,,2,,,
448,"Ashish, Pranav",18-05-2018,Tamarindus indica,10,,,,,,,,,,,,2,,,
449,"Ashish, Pranav",18-05-2018,Lantana camera,8,8,,,,,,,,,,,1.5,,,
450,"Ashish, Pranav",18-05-2018,Lantana camera,5,5,,,,,,,,,,,1.5,,,
451,"Ashish, Pranav",18-05-2018,Lantana camera,5,,,,,,,,,,,,1.5,,,
452,"Ashish, Pranav",18-05-2018,Euphorbia lacteata,21,22,,,,,,,,,,,2,,,
453,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,23,,,,,,,,,,,,3.5,,,
454,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,25,,,,,,,,,,,,3.5,,,
455,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,5,,,,,,,,,,,,1.2,,,
456,"Ashish, Pranav",18-05-2018,Tecoma stans,17,,,,,,,,,,,,2,,,
457,"Ashish, Pranav",18-05-2018,Euphorbia lacteata,54,31,50,,,,,,,,,,3,B3/P1-107,,
458,"Ashish, Pranav",18-05-2018,Tecoma stans,22.3,,,,,,,,,,,,2,,,
459,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,79,,,,,,,,,,,,4,,,
460,"Ashish, Pranav",18-05-2018,Tecoma stans,10,,,,,,,,,,,,2,,,
461,"Ashish, Pranav",18-05-2018,Tecoma stans,10,15,,,,,,,,,,,2,,,
462,"Ashish, Pranav",18-05-2018,Caesalpinia ferrea,181,,,,,,,,,,,,4.5,,,
463,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,69.9,,,,,,,,,,,,4.5,,,
464,"Ashish, Pranav",18-05-2018,Lantana camera,5,,,,,,,,,,,,1,,,
465,"Ashish, Pranav",18-05-2018,Gliricidia sepium,126,65.1,,,,,,,,,,,5,,,
466,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,19,,,,,,,,,,,,2,,,
467,"Ashish, Pranav",18-05-2018,Dead (unidentified),56,,,,,,,,,,,,3.5,,,
468,"Ashish, Pranav",18-05-2018,Dead (unidentified),93,,,,,,,,,,,,4,,,
469,"Ashish, Pranav",18-05-2018,Diospyros peregrina,154,109,,,,,,,,,,,7,,one stem dead,
470,"Ashish, Pranav",18-05-2018,Delonix regia,138,,,,,,,,,,,,8,B3/P1-133,,
471,"Ashish, Pranav",18-05-2018,Gliricidia sepium,129,,,,,,,,,,,,7,B3/P1-113,,
472,"Ashish, Pranav",18-05-2018,Gliricidia sepium,119,47,63,55,,,,,,,,,8,,,
473,"Ashish, Pranav",18-05-2018,Musa indica,47,44,46,,,,,,,,,,2,,planted by quarters people,
474,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,42,,,,,,,,,,,,3,,,
475,"Ashish, Pranav",18-05-2018,Psidium guajava,16,14,,,,,,,,,,,2.5,,,
476,"Ashish, Pranav",18-05-2018,Musa indica,42,,,,,,,,,,,,2,,planted by quarters people,
477,"Ashish, Pranav",18-05-2018,Musa indica,20,,,,,,,,,,,,2,,planted by quarters people,
478,"Ashish, Pranav",18-05-2018,Musa indica,55,,,,,,,,,,,,2,,planted by quarters people,
479,"Ashish, Pranav",18-05-2018,Musa indica,50,,,,,,,,,,,,2,,planted by quarters people,
480,"Ashish, Pranav",18-05-2018,Musa indica,50,15,15,,,,,,,,,,2,,planted by quarters people,
481,"Ashish, Pranav",18-05-2018,Musa indica,61,60,,,,,,,,,,,2,,planted by quarters people,
482,"Ashish, Pranav",18-05-2018,Musa indica,80,,,,,,,,,,,,2,,planted by quarters people,
483,"Ashish, Pranav",18-05-2018,Musa indica,35,,,,,,,,,,,,2,,planted by quarters people,
484,"Ashish, Pranav",18-05-2018,Mangifera indica,10,,,,,,,,,,,,1.5,,,
485,"Ashish, Pranav",18-05-2018,Acacia concinna,80,36,,,,,,,,,,,3,,stems with same GBH pooled and written. Total stems 11. Liana,
486,"Ashish, Pranav",18-05-2018,Acacia concinna,90,36,30,,,,,,,,,,3,,stems with same GBH pooled and written. Total stems 14. Liana,
487,"Ashish, Pranav",18-05-2018,Acacia concinna,25,25,,,,,,,,,,,2,,liana,
488,"Ashish, Pranav",18-05-2018,Psidium guajava,14,33,13,10,18,,,,,,,,2.5,,,
489,"Ashish, Pranav",18-05-2018,Mangifera indica,12,,,,,,,,,,,,2,,,
490,"Ashish, Pranav",18-05-2018,Mangifera indica,102,,,,,,,,,,,,5,,,
491,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,14,,,,,,,,,,,,3,,,
492,"Ashish, Pranav",18-05-2018,Psidium guajava,36,,,,,,,,,,,,3.5,,,
493,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,35.1,,,,,,,,,,,,3.5,,,
494,"Ashish, Pranav",18-05-2018,Dead (unidentified),28,,,,,,,,,,,,2.5,,,
495,"Ashish, Pranav",18-05-2018,Psidium guajava,31,,,,,,,,,,,,2.5,,,
496,"Ashish, Pranav",18-05-2018,Psidium guajava,32,,,,,,,,,,,,2.5,,,
497,"Ashish, Pranav",18-05-2018,Mangifera indica,41.5,,,,,,,,,,,,6,,,
498,"Ashish, Pranav",18-05-2018,Syzygium cumini,44,,,,,,,,,,,,5,,,
499,"Ashish, Pranav",18-05-2018,Cedrela toona,65.2,,,,,,,,,,,,4.5,,,
500,"Ashish, Pranav",18-05-2018,dead (Caryota urens),92.5,,,,,,,,,,,,5,B3/P1-156,,
501,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,21,,,,,,,,,,,,2.5,,,
502,"Ashish, Pranav",18-05-2018,dead (Caryota urens),95,,,,,,,,,,,,6,,,
503,"Ashish, Pranav",18-05-2018,Caryota urens,87,,,,,,,,,,,,6,,,
504,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,30,31,44,,,,,,,,,,6,,,
505,"Ashish, Pranav",18-05-2018,Acacia concinna,20,18,,,,,,,,,,,3,,liana,
506,"Ashish, Pranav",18-05-2018,Albizia saman,289,,,,,,,,,,,,10,,,
507,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,46.5,,,,,,,,,,,,6,,,
508,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,37,,,,,,,,,,,,5,,,
509,"Ashish, Pranav",18-05-2018,Polyalthia longifolia,6,,,,,,,,,,,,3,,,
510,"Ashish, Pranav",18-05-2018,Delonix regia,161.9,,,,,,,,,,,,10,B3/P1-144,,
511,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,22,,,,,,,,,,,,5,,,
512,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,10,30,,,,,,,,,,,3,,,
513,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,21,,,,,,,,,,,,3,,,
514,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,18,,,,,,,,,,,,3,,,
515,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,73,10,,,,,,,,,,,5,,,
516,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,25.2,,,,,,,,,,,,4,,,
517,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,15,,,,,,,,,,,,3.5,,,
518,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,13,,,,,,,,,,,,3.5,,,
519,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,22.3,,,,,,,,,,,,4,,,
520,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,9,86,26,,,,,,,,,,6,,,
521,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,14,,,,,,,,,,,,3,,,
522,"Ashish, Pranav",18-05-2018,Combretum latifolium,19,,,,,,,,,,,,3,,liana,
523,"Ashish, Pranav",18-05-2018,Tamarindus indica,30.1,16,10,,,,,,,,,,5,,,
524,"Ashish, Pranav",18-05-2018,dead (Broussonetia papyrifera),84,,,,,,,,,,,,6,,,
525,"Ashish, Pranav",18-05-2018,Broussonetia papyrifera,15,,,,,,,,,,,,3,,,
