Master file Fergusson College Botanical Garden census,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr. no,Team,Census date,Species,GBH1,GBH2,GBH3,GBH4,GBH5,GBH6,GBH7,GBH8,GBH9,GBH10,GBH11,GBH12,Height (visual estimate),Tag number,Remarks,
58,"Ashish, Pranav",18-05-2018,Plumeria acutifolia,49.1,33,19.9,,,,,,,,,,4,,,
59,"Ashish, Pranav",18-05-2018,Hibiscus rosa-sinensis,5.3,7.5,5.3,,,,,,,,,,3,,,
60,"Ashish, Pranav",18-05-2018,Hibiscus rosa-sinensis,3.2,,,,,,,,,,,,2.5,,,
61,"Ashish, Pranav",18-05-2018,Euphorbia tirucalli,43.9,36,23,29,26,29.1,,,,,,,8,,,
62,"Ashish, Pranav",18-05-2018,Hibiscus rosa-sinensis,3.4,,,,,,,,,,,,3,,,
63,"Ashish, Pranav",18-05-2018,Gliricidia sepium,65,33.2,55,11,39.9,,,,,,,,8,,,
64,"Ashish, Pranav",18-05-2018,Hibiscus rosa-sinensis,9.1,5.9,7.8,9.7,,,,,,,,,3,,,
65,"Ashish, Pranav",18-05-2018,Gliricidia sepium,10,39,4,,,,,,,,,,4.5,,,
66,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,101,,,,,,,,,,,,7.5,,,
67,"Ashish, Pranav",18-05-2018,Hibiscus rosa-sinensis,4,3,,,,,,,,,,,5,,,
68,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,16.9,14,,,,,,,,,,,4,,,
69,"Ashish, Pranav",18-05-2018,Plumeria acutifolia,15,18,21,16.9,,,,,,,,,5,,,
70,"Ashish, Pranav",18-05-2018,Plumeria acutifolia,15.3,13,16,,,,,,,,,,4,,,
71,"Ashish, Pranav",18-05-2018,Dead (unidentified),61,,,,,,,,,,,,8,B1/P1-129,,
72,"Ashish, Pranav",18-05-2018,Gliricidia sepium,154.2,50,,,,,,,,,,,9,,,
73,"Ashish, Pranav",18-05-2018,Wrightia tinctoria,20,25,,,,,,,,,,,4.5,B1/P1-119,,
74,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,26,,,,,,,,,,,,6,,,
75,"Ashish, Pranav",18-05-2018,Gliricidia sepium,73.1,51,,,,,,,,,,,9,,,
76,"Ashish, Pranav",18-05-2018,dead (Albizia saman),238.5,,,,,,,,,,,,4,,,
77,"Ashish, Pranav",18-05-2018,Gliricidia sepium,29,23.9,14.8,,,,,,,,,,7,,,
78,"Ashish, Pranav",18-05-2018,Albizia saman,327.8,,,,,,,,,,,,15,B1/P1-117,,
79,"Ashish, Pranav",18-05-2018,Ehretia laevis,10.1,,,,,,,,,,,,3,,,
80,"Ashish, Pranav",18-05-2018,Ehretia laevis,5,,,,,,,,,,,,3,,,
81,"Ashish, Pranav",18-05-2018,Ehretia laevis,4,,,,,,,,,,,,2,,,
82,"Ashish, Pranav",18-05-2018,Cassine glauca,120.9,,,,,,,,,,,,12,,,
83,"Ashish, Pranav",18-05-2018,Ehretia laevis,9,4,,,,,,,,,,,2,,,
84,"Ashish, Pranav",18-05-2018,Araucaria cunninghamii,228.5,,,,,,,,,,,,13,,,
85,"Ashish, Pranav",18-05-2018,Tamarindus indica,159,,,,,,,,,,,,9,,,
86,"Ashish, Pranav",18-05-2018,Annona reticulata,48,,,,,,,,,,,,5,,,
87,"Ashish, Pranav",18-05-2018,Jacaranda mimosaefolia,105,,,,,,,,,,,,10,,,
88,"Ashish, Pranav",18-05-2018,Dead (unidentified),106,,,,,,,,,,,,12,B1/P1-146,,
89,"Ashish, Pranav",18-05-2018,Peltophorum pterocarpum,112.5,,,,,,,,,,,,10,,,
90,"Ashish, Pranav",18-05-2018,Dead (unidentified),55,32.1,,,,,,,,,,,8,,,
91,"Ashish, Pranav",18-05-2018,Unidentified (2),31,,,,,,,,,,,,4,,,
92,"Ashish, Pranav",18-05-2018,Dead (unidentified),42,,,,,,,,,,,,6,B1/P1-131,,
93,"Ashish, Pranav",18-05-2018,Tamarindus indica,89,,,,,,,,,,,,11,,,
94,"Ashish, Pranav",18-05-2018,Santalum album,20.1,17.1,13,,,,,,,,,,4,,,
95,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,106.3,,,,,,,,,,,,11,,,
96,"Ashish, Pranav",18-05-2018,Hibiscus rosa-sinensis,15.9,12,9,,,,,,,,,,3,,,
97,"Ashish, Pranav",18-05-2018,Dead (unidentified),124,,,,,,,,,,,,10,,,
