,Master file FC Long term transects monitoring,,,,,,,,,,,,,,,,,,,
,Transects in main campus (40),,,,,,,,,,,,,,,,,,,
,Transects on hill (10),,,,,,,,,,,,,,,,,,,
Sr. no,Date,Team,Transect number,Transect name,Species,GBH1 (cm),GBH2 (cm),GBH3 (cm),GBH4 (cm),GBH5 (cm),GBH6 (cm),GBH7 (cm),GBH8 (cm),GBH9 (cm),GBH10 (cm),GBH 11 (cm),GBH 12 (cm),Height (visual estimate),Remarks,Transect landmarks/remark
36,21-06-2018,"Ashish, Akshay, Snehangshu",6,Geology entrance,Gliricidia sepium,51.4,44.5,,,,,,,,,,,4,one stem dead,
37,21-06-2018,"Ashish, Akshay, Snehangshu",6,Geology entrance,Thevettia peruviana,41.8,32.5,19,22.2,20,,,,,,,,6,,
38,21-06-2018,"Ashish, Akshay, Snehangshu",6,Geology entrance,Gliricidia sepium,39.1,,,,,,,,,,,,4,,
39,21-06-2018,"Ashish, Akshay, Snehangshu",6,Geology entrance,Gliricidia sepium,46.9,15,15.1,52.9,,,,,,,,,7,,
40,21-06-2018,"Ashish, Akshay, Snehangshu",7,Geology dustbin,Gliricidia sepium,61.1,182.5,,,,,,,,,,,10,saplings: Khaya (1),starting tree next to dustbin
41,21-06-2018,"Ashish, Akshay, Snehangshu",7,Geology dustbin,Dalbergia melanoxylon,18.9,16.1,11,16.5,16.9,12.9,,,,,,,2.5,,
42,21-06-2018,"Ashish, Akshay, Snehangshu",7,Geology dustbin,Dalbergia lanceolaria,63.7,57.9,,,,,,,,,,,7,,
43,21-06-2018,"Ashish, Akshay, Snehangshu",8,Botany bridge,Leucaena leucocephala,19,12.9,,,,,,,,,,,8,,
44,21-06-2018,"Ashish, Akshay, Snehangshu",8,Botany bridge,Pongamia pinnata,11.5,8,,,,,,,,,,,4,Don’t take the neighbouring big Pongamia,
45,21-06-2018,"Ashish, Akshay, Snehangshu",8,Botany bridge,Thevettia peruviana,17,9,12.9,15,,,,,,,,,5,,
46,21-06-2018,"Ashish, Akshay, Snehangshu",8,Botany bridge,Thevettia peruviana,13,16.5,31.9,34.1,,,,,,,,,6,,
47,21-06-2018,"Ashish, Akshay, Snehangshu",8,Botany bridge,Thevettia peruviana,25.5,,,,,,,,,,,,3,,
48,21-06-2018,"Ashish, Akshay, Snehangshu",8,Botany bridge,Lantana camera,5,,,,,,,,,,,,2,,
49,21-06-2018,"Ashish, Akshay, Snehangshu",8,Botany bridge,Thevettia peruviana,30.9,37.7,10,8,,,,,,,,,5,,
50,21-06-2018,"Ashish, Akshay, Snehangshu",8,Botany bridge,Thevettia peruviana,19.5,,,,,,,,,,,,3,plate- Q-13,
51,21-06-2018,"Ashish, Akshay, Snehangshu",8,Botany bridge,Thevettia peruviana,30,23.9,,,,,,,,,,,4,,
52,21-06-2018,"Ashish, Akshay, Snehangshu",8,Botany bridge,Thevettia peruviana,8.5,,,,,,,,,,,,2,Don’t take sandalwood (about 30 cm GBH that is towards the end of transect,
53,21-06-2018,"Ashish, Akshay, Snehangshu",9,Botany steps,Gliricidia sepium,89.4,33.2,16,,,,,,,,,,9,,start from Gliricidia next to steps
54,21-06-2018,"Ashish, Akshay, Snehangshu",9,Botany steps,Ficus maclellandii,26.2,,,,,,,,,,,,4,,Keep rope between ficus and gliricidia
55,21-06-2018,"Ashish, Akshay, Snehangshu",9,Botany steps,Callistemon viminalis,10.1,,,,,,,,,,,,2,,
56,21-06-2018,"Ashish, Akshay, Snehangshu",9,Botany steps,Plumeria acutifolia,9,9.9,8.1,7.4,8.3,9.1,7.6,9.1,,,,,1.5,,
57,21-06-2018,"Ashish, Akshay, Snehangshu",9,Botany steps,dead (Sweitenia mahogany),268.2,,,,,,,,,,,,5,,
58,21-06-2018,"Ashish, Akshay, Snehangshu",9,Botany steps,Pterospermum acerifolium,5,,,,,,,,,,,,2,,
59,21-06-2018,"Ashish, Akshay, Snehangshu",10,Behind botany,Leucaena leucocephala,89,,,,,,,,,,,,11.5,,starting tree near pole
60,21-06-2018,"Ashish, Akshay, Snehangshu",10,Behind botany,Leucaena leucocephala,23.9,,,,,,,,,,,,6,,
61,21-06-2018,"Ashish, Akshay, Snehangshu",10,Behind botany,Leucaena leucocephala,17.1,16.1,20.1,47.2,,,,,,,,,6,,
62,21-06-2018,"Ashish, Akshay, Snehangshu",10,Behind botany,Bombax ceiba,5.5,,,,,,,,,,,,2,,
63,21-06-2018,"Ashish, Akshay, Snehangshu",10,Behind botany,Leucaena leucocephala,49.6,52.9,,,,,,,,,,,7,,
64,21-06-2018,"Ashish, Akshay, Snehangshu",11,Physics dustbin,Gliricidia sepium,29.2,62.6,15.4,,,,,,,,,,11,,start from big gliricidia next to dustbin
65,21-06-2018,"Ashish, Akshay, Snehangshu",11,Physics dustbin,Alstonia scholaris,39.4,,,,,,,,,,,,4,,
66,21-06-2018,"Ashish, Akshay, Snehangshu",11,Physics dustbin,Alstonia scholaris,31.9,7,,,,,,,,,,,4,,
67,21-06-2018,"Ashish, Akshay, Snehangshu",12,Physics road,Bauhinia purpurea,163,22.6,17.9,,,,,,,,,,12,,start from Bauhinia next to botany
68,21-06-2018,"Ashish, Akshay, Snehangshu",12,Physics road,Gliricidia sepium,79.9,115.1,81.6,,,,,,,,,,12,,
69,21-06-2018,"Ashish, Akshay, Snehangshu",12,Physics road,Bauhinia purpurea,92,21,18.1,11,28.5,9,16.1,106,12.9,19.9,22,,12,"Just within 10m, include",
70,21-06-2018,"Ashish, Akshay, Snehangshu",13,Physics Gulmohar,Delonix regia,41,50.5,,,,,,,,,,,4,,starting Gulmohar at physics chowk
71,21-06-2018,"Ashish, Akshay, Snehangshu",13,Physics Gulmohar,Peltophorum pterocarpum,25.2,,,,,,,,,,,,3,,
72,21-06-2018,"Ashish, Akshay, Snehangshu",13,Physics Gulmohar,Caesalpinia pulcherrima,7,7,7,7,7,9,9,9,,,,,2.5,,
